"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)不晚于08微秒12月底止全年业绩，较07年大幅倒退76",1.3470649719238281e-05,2.7298927307128906e-05,1,1,1,1237,"Failed"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","不丹加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议有什么于1月30日至",8.344650268554688e-06,0.9999986290931702,4,2,4,687,"Successful"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国开老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“",8.225440979003906e-06,0.9729638695716858,2,3,2,808,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦品继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科",6.556510925292969e-06,1.0251998901367188e-05,2,2,2,755,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","网通大有希望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906",1.2040138244628906e-05,3.349781036376953e-05,0,0,0,504,"Failed"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天仞在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾",7.62939453125e-06,2.0623207092285156e-05,2,2,2,685,"Failed"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内",0.9735851287841797,0.9735851287841797,4,4,1,1,"Skipped"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，不丹百废待兴目前的复苏进程十分缓慢，全美失业率将在一段时间内持",2.6345252990722656e-05,0.9870125651359558,1,2,1,941,"Successful"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","咽喉元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",8.58306884765625e-06,0.9999975562095642,4,2,4,629,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，...以来一场热身赛中，美国职业体量联盟球队FC达拉斯3-1战胜孟菲斯。一朝到达",5.125999450683594e-06,1.811981201171875e-05,2,2,2,1811,"Failed"
"北京大胡子外援很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场","富川瑶族自治县大胡子外援很“大牌”闵鹿蕾让他上场他刺打NO!本报讯  解立彬受伤，闵鹿蕾赛前为激活大胡子乔-克劳福德的主要地。不过，这名此前很不给不知疲倦的外援在这场",8.106231689453125e-06,2.288818359375e-05,2,2,2,1094,"Failed"
"5英寸移动电视 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，支持数十","02英寸移动电视 纽曼CTV20+仅售799初次作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，支持数十",1.1682510375976562e-05,2.467632293701172e-05,0,0,0,932,"Failed"
"索尼PlayStation手机明春上市基于PSP Go设计新浪[[科技]]讯 北京时间12月29[[日]]下午消息，据[[日本]]《朝日新闻》报道，索尼PlayStation手机[[将]]于","索尼PlayStation手机明春上市基于PSP Go设计新浪[[人体艺术]]讯 北京时间12月29[[一代]]下午消息，据[[扶桑]]《朝日新闻》报道，索尼PlayStation手机[[一来]]于",1.4066696166992188e-05,0.9997354745864868,0,3,0,769,"Successful"
"美股收评：道指涨2.76% 标普500指数涨近3%新浪财经讯 北京时间6月11日凌晨消息 受中、美及欧洲等地传来的众多利好消息推动，周四美国股市大幅收","美股收评：道指涨2.76% 标普500指数涨近3%新浪财经讯 北京时间6月11日凌晨消息 受中、美及欧洲等地传来的众多利好消息推动，周四美国股市大幅关入",1.2040138244628906e-05,2.467632293701172e-05,1,1,1,1552,"Failed"
"基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　据新华社电 一家宗教极端主义论坛网站8日上传一段“基","基地组织二号人物实测美国会为杀死拉登后悔通过新闻节目发誓要采取必要牺牲“夺取美国的安保”　　书面证词新华社电 一家宗教极端主义论坛网站8日上传一段“基",1.0371208190917969e-05,0.9999986886978149,4,2,4,1212,"Successful"
"Facebook证实CFO将离职 寻求[[继任]]或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪[[科技]]讯 北京时间4月1日早间消息，据","Facebook证实CFO将离职 寻求[[连任]]或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪[[人体艺术]]讯 北京时间4月1日早间消息，据",1.2636184692382812e-05,0.999990701675415,0,3,0,631,"Successful"
"欧央行副行长：爱尔兰将可动用欧盟援助资金新浪财经讯 北京时间11月15日晚间消息，欧洲央行副行长维克托-康斯坦西奥(Vitor Consta","欧央行副行长：爱尔兰将可动用欧盟援助资金新浪账务讯 北京时间11月15日晚间消息，欧洲央行副行长维克托-康斯坦西奥(Vitor Consta",1.430511474609375e-05,0.9995492696762085,1,2,1,489,"Successful"
"新疆天山南北铺就“信息高速公路网”新华网乌鲁木齐8月21日电(记者 刘兵)通过手机短信遥控棉田自动灌溉，用电脑视频和远隔千里的亲人面对","新疆天山南北铺就“信息高速公路网”新华网乌鲁木齐8月21日电(记者 刘兵)借助于手机短信遥控棉田自动灌溉，用电脑视频和远隔千里的亲人面对",1.52587890625e-05,3.600120544433594e-05,0,0,0,1049,"Failed"
"西班牙首都6万民众集会抗议高失业率数以万计的西班牙民众在5月1日国际劳动节这天走上街头，抗议高失业率及政府采取的紧缩措施。　　在首都马","西班牙首都6万民众集会抗议高失业率数以万计的西班牙民众在5月1日国际劳动节这天走上街头，抗议高失业率也好政府采取的紧缩措施。　　在首都马",6.341934204101562e-05,0.9999855160713196,4,1,4,1052,"Successful"
"猛龙天才后卫扬言离队 卡尔德隆：不打主力就走人新浪体育讯　北京时间5月10日美联社消息，赛季中多伦多猛龙后卫何塞-卡尔德隆为了球队战术平衡和更衣室","猛龙天才后卫扬言离队 卡尔德隆：不举起主力事走人新浪体育讯　北京时间5月10日美联社消息，赛季中多伦多猛龙后卫何塞-卡尔德隆为了球队战术平衡和更衣室",5.9604644775390625e-06,1.4662742614746094e-05,2,2,2,1738,"Failed"
"林依晨坦言不能没有爱人 梦想举办海滩婚礼新浪娱乐讯 林依晨(微博)个性低调、敏感话题向来不回应，但日前她被媒体腥膻标题踩到地雷，亲上官网捍卫","林依晨坦言不能没有爱人 梦想举办海滩婚礼新浪作拼字游戏讯 林依晨(微博)个性低调、敏感话题向来不回应，但日前她被媒体腥膻标题踩到上方宝剑，主张上官网捍卫",5.4836273193359375e-06,0.9999917149543762,3,0,3,723,"Successful"
"金融时报：格拉斯-斯蒂格尔法不可恢复新浪财经讯 哈佛商学院高级讲师罗伯特·波曾(Robert Pozen)1月13日在《金融时报》发表评","金融时报：格拉斯-斯蒂格尔法不可以恢复新浪账务讯 哈佛商学院高级讲师罗伯特·波曾(Robert Pozen)1月13日在《金融时报》发表评",1.4781951904296875e-05,0.9999844431877136,1,3,1,487,"Successful"
"统计局称明年我国将采用新CPI权重新华网北京10月21日电(记者 刘铮、王希)国家统计局新闻发言人盛来运21日在此间透露，今年全国正在","统计局称明年我国将采用新CPI权重新华网北京10月21日电(记者 刘铮、王希)国家统计局新闻发言人盛来运21微秒在此间透露，今年全国正在",1.1920928955078125e-05,0.9959399700164795,4,0,4,742,"Successful"
"篮协公布第五周MVP：八一队尖刀携手上海杀器当选新浪体育讯　北京时间1月21日，中国篮协公布了CBA第五周最佳球员，上海队的麦克-哈里斯和八一队的王","篮协公布第五周MVP：八一队尖刀携手上海杀器当选新浪体育讯　北京时间1月21日，中国篮协公布了CBA第五东汉最佳球员，上海队的麦克-哈里斯乃至八一队的王",6.198883056640625e-06,1.4185905456542969e-05,2,2,2,1105,"Failed"
"技术前瞻：标普恢复涨势前或继续盘整这是Capital Essence对2010年12月10日(周五)的市场技术分析。　　尽管首度申请失","技术前瞻：标普恢复涨势前或继续盘整这是Capital Essence对2010年12月10日(周五)...为止市场技术分析。　　尽管首度申请失",1.4901161193847656e-05,2.8848648071289062e-05,1,1,1,1541,"Failed"
"T3200芯X4500显卡 IdeaPad Y430本报4400元【北京行情】联想IdeaPad Y430(参数 图片 文章 热评 系列)系列拥有八种不同配置，覆盖了","T3200芯X4500显卡 IdeaPad Y430本报4400银两【北京行情】联想IdeaPad Y430(参数 图片 文章 热评 系列)系列保有八种不同配置，覆盖了",1.1324882507324219e-05,2.8252601623535156e-05,0,0,0,552,"Failed"
"美国宾州枪击事件续：凶手求爱屡遭拒是主因美国宾夕法尼亚州匹兹堡附近一家健身中心4日晚发生枪击案，包括凶手在内4人丧生，另有9人受伤。行凶者的","不丹宾州枪击事件续：凶手求爱屡遭拒是主因美国宾夕法尼亚州匹兹堡附近一家健身中心4日晚发生枪击案，包括凶手在内4人丧生，另有9人受伤。行凶者的",6.4373016357421875e-06,0.9999993443489075,4,2,4,694,"Successful"
"马洛卡vs皇马首发：罗本领衔 亨特拉尔让位伊瓜因新浪体育讯　北京时间1月12日凌晨，西甲第18轮全面开战，皇马客场挑战马洛卡队，双方出场阵容如下：　","马洛卡vs皇马首发：罗本领衔 亨特拉尔让位伊瓜因新浪体育讯　北京一代1月12扶桑凌晨，西甲第18轮一干二净开战，皇马客场挑战马洛卡队，双方出场阵容如下：　",5.7220458984375e-06,9.775161743164062e-06,2,2,2,982,"Failed"
"梅小惠生日会变慈善秀 亲绘四幅画拍卖募捐新浪娱乐讯 4月17日是梅小惠的生日，她当晚广邀圈中好友及亲友出席在赛西湖商场举行的生日派对，梅小亲","梅小惠生日会变慈善秀 亲绘四幅画拍卖募捐新浪作拼字游戏讯 4月17日是梅小惠的生日，她当晚广邀圈中好友及亲友作息在赛西湖商场举行的生日派对，梅小亲",7.987022399902344e-06,0.9955007433891296,3,0,3,766,"Successful"
"完美时空游戏推迟发布拉低股价：大摩维持增持新浪科技讯 北京时间3月30日下午消息，摩根士丹利发表投资报告，维持完美时空(NasdaqGS:PW","完美时空游戏推迟发布拉低股价：大摩维持增持新浪三段论新闻 北京时间3月30日下午消息，摩根士丹利发表投资报告，维持完美时空(NasdaqGS:PW",1.52587890625e-05,0.9999029636383057,0,1,0,619,"Successful"
"网购从“全民狂欢”回归理性细分回顾《看2010》预测　　网络购物在2010年以“团购”的姿态，引领了一种近乎“全民狂欢式”的网购热","网购从“全民狂欢”回归理性细分回顾《巡察2010》预测　　网络购物仗凭2010年以“团购”的姿态，引领了一种近乎“全民狂欢式”的网购热",1.1801719665527344e-05,3.4809112548828125e-05,0,0,0,1310,"Failed"
"白云山足球队加盟粤超 呼吁申办2016五人足球世界杯新快报讯 记者 刘勇 报道 8月4日，白云山和黄足球俱乐部在广州召开新闻发布会，宣布新赛季将加盟粤超","白云山足球队加盟粤超 呼吁申办2016五人足球世界杯新快报讯 记者 刘勇 报道 8月4日，白云山和黄足球俱乐部在广州召开新闻发布会，宣布新赛季卒加盟粤超",7.3909759521484375e-06,1.4662742614746094e-05,2,2,2,1398,"Failed"
"图文-汇丰青少公开赛ABC组颁奖 获奖球手合影新浪体育讯　1月23日深圳消息：2011年汇丰青少年高尔夫球公开赛决赛轮在深圳正中高尔夫俱乐部结束。","图文-汇丰青少公开赛ABC组颁奖 获奖球手合影新浪体育讯　1月23日深圳消息：2011年汇丰青少年高尔夫球公开赛决赛代在深圳正中高尔夫俱乐部结束。",7.3909759521484375e-06,1.5139579772949219e-05,2,2,2,1202,"Failed"
"蓝港就《西游记》营销活动致歉新浪科技讯 7月20日中午消息，蓝港在线就旗下产品《西游记》举办的车模翟凌(兽兽)玩家见面会活动一事","蓝港就《西游记》营销活动致歉新浪三民主义讯 7月20日中午消息，蓝港在线就旗下产品《西游记》举办的车模翟凌(兽兽)玩家见面会活动一事",1.5139579772949219e-05,0.9999975562095642,0,3,0,606,"Successful"
"越南明日迎国庆特赦5400余名囚犯国际在线消息(记者 张冬梅)：为迎接9月2日国庆日的到来，越南决定对5459名囚犯进行特赦。　　据《","越南明日迎国庆特赦5400余名囚犯国际在线消息(记者 张冬梅)：为迎接9月2扶桑国庆日的到来，越南决定对5459名囚犯进行特赦。　　据《",7.510185241699219e-06,0.9999992251396179,4,2,4,699,"Successful"
"惠普新CEO将获120万美元年薪及签约奖金新浪财经讯 北京时间10月1日晚间消息，惠普公司(HPQ)表示，新任CEO李艾科(Leo Apoth","惠普新CEO将获120万美元年薪及签约奖金新浪账务讯 北京时间10月1日晚间消息，惠普公司(HPQ)表示，新任CEO李艾科(Leo Apoth",1.7642974853515625e-05,0.999997079372406,1,0,1,590,"Successful"
