"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","2012打击 大福，人倒退77%香港媒体业，受金融海啸拖累，大福证券(0665)视08视12月底冲全年业绩，较07年大幅倒退76",9.810924530029297e-05,0.7339202165603638,1,0,1,391,"Successful"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网赛1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟esp将于1月30日至",0.0005730390548706055,0.9077434539794922,4,2,4,309,"Successful"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向网米移动靶金牌发起冲击。昨天他透露：“",0.00034034252166748047,0.9997647404670715,2,0,2,340,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","！加入金童群 跟到甘愿猴西甲丛皇马和马拉加不为“金童”卢比奥東诱人豪，另一馬,也加入了夺宝哥。刚从博",0.0001423358917236328,0.00017887353897094727,2,2,2,490,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","市有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906",0.11066925525665283,0.9997663497924805,0,1,0,220,"Successful"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","一传媒网几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾",0.00014579296112060547,0.9974936246871948,2,0,2,319,"Successful"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","丰田本财年全球运将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内",0.0015445947647094727,0.9998398423194885,1,2,1,339,"Successful"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","台失业率将总居高不下恐前导导百·弗格森台视是日表示，宣经济目前的佛进程闻缓慢，全美失业率播在说""",0.00012409687042236328,0.9970783591270447,1,0,1,454,"Successful"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","基地元老狱中怒斥车 仪911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",0.0006989240646362305,0.7938430905342102,4,1,4,348,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","舞》盛赞于大宝表现他是全队爷最好演之一的体育讯　绝时间唱的星日，个一场热身赛中，狐职业大联盟。FC达拉斯星-。晚孟菲斯。刚刚到达",0.00014483928680419922,0.0001608133316040039,2,2,2,547,"Failed"
