"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸达击 大福正券应利倒推77%香港美体包道，受金融海啸拖累，达福正券(0665)接至08念12月低止全年页绩，较07黏打幅倒退76",9.810924530029297e-05,0.0001081228256225586,1,1,1,240,"Failed"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","埃赛俄比亚加抢安保防至五装分字破坏非盟峰会新画网亚的斯亚贝巴1月29日点(记者 梁尚刚 时序) 位期两天的第是六届非盟手脑会议将于1月30日至",0.0005730390548706055,0.7274272441864014,4,2,4,248,"Successful"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将亚云会后退以 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“",0.00034034252166748047,0.9820702075958252,2,4,2,185,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴赛罗那加乳金童争夺占 森林浪态读强硬干愿苦等既西甲辆强皇马和马拉加先后为“金童”卢笔熬开出诱人价嘛，另一豪门八塞罗那也加入了夺宝兵团。刚从莫斯科",0.0001423358917236328,0.00015687942504882812,2,2,2,270,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","王通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906",0.11066925525665283,0.9998260140419006,0,1,0,133,"Successful"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","一穿惨不忍睹哼大几乎全线崩葵 郎凭：窝们已竟尽力2010～2011赛季全国女拍连赛般决赛第一会合今天分别载上嗨卢玩体育馆与着江嘉善体育馆进行，郎平麾",0.00014579296112060547,0.0003628730773925781,2,2,2,262,"Failed"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","丰甜笨踩年全球汽车小量将朝700晚辆新华网东京11月4日电(记这叶佳)句日本美体报道，在姐止命年3月底地2009菜念，报括大罚和日野在内",0.0015445947647094727,0.7020856738090515,1,4,1,248,"Successful"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","劝美失叶率将持许居高部下美联处前副主戏罗姐·弗格森7月29日表示，没国经既亩前的复苏进程使分患慢，全美失叶率将在一段使间内持",0.00012409687042236328,0.9993252754211426,1,4,1,259,"Successful"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网换球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",0.0006989240646362305,0.9990242719650269,4,2,4,182,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","达啦斯主帅盛攒于大爆表现他是全对既主最号秋员之一新狼题育讯　背京时间2月6日，载一场热身赛中，美锅只业大联盟球堆FC达啦斯3-1战胜孟菲斯。刚刚到达",0.00014483928680419922,0.0001722574234008789,2,2,2,294,"Failed"
"北京大胡子外援很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场","北京大胡子外元很“大牌”闵鹿蕾让他上唱他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场",0.0001493692398071289,0.9999545812606812,2,3,2,177,"Successful"
"5英寸移动电视 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，支持数十","5英村以动店视 牛曼CTV20+仅受799元坐者：中馆村再线 毛萧曼          　　纽曼CTV20+菜用了5英村16：9显示瓶，支持数十",0.00014579296112060547,0.010730326175689697,0,0,0,184,"Failed"
"索尼PlayStation手机明春上市基于PSP Go设计新浪科技讯 北京时间12月29日下午消息，据日本《朝日新闻》报道，索尼PlayStation手机将于","索妳PlayStati喔n手即明纯上市基于PSP Go设计新郎科技寻 背京时间12月29囸吓午消息，据日奔《找日新闻》报道，索尼PlayStation手机将于",0.00015044212341308594,0.0001900792121887207,0,0,0,243,"Failed"
"美股收评：道指涨2.76% 标普500指数涨近3%新浪财经讯 北京时间6月11日凌晨消息 受中、美及欧洲等地传来的众多利好消息推动，周四美国股市大幅收","美故受评：道之涨2.76% 标普500之数涨近3%新浪才经讯 呗京时间6月11日领晨消戏 受中、美及偶洲瞪地传来的众多李好消戏推动，周四美国股市大幅收",8.976459503173828e-05,0.9579116702079773,1,0,1,238,"Successful"
"基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　据新华社电 一家宗教极端主义论坛网站8日上传一段“基","基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　剧新华社电 一家宗教极端主义论坛网站8日上传一段“基",0.21202921867370605,0.976355791091919,4,0,4,176,"Successful"
"Facebook证实CFO将离职 寻求继任或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪科技讯 北京时间4月1日早间消息，据","Facebook证实CFO将离职 寻求继任或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪科及训 北京时间4月1日早间消息，据",0.0001849532127380371,0.9629204273223877,0,4,0,143,"Successful"
