"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅。76",1.4901161193847656e-05,2.47955322265625e-05,1,1,1,562,"Failed"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","本加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 体 石序) 为期两天的第十六届非盟首脑会议将于1月30日至",1.0132789611816406e-05,2.8371810913085938e-05,4,4,4,551,"Failed"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国忆老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“",7.748603820800781e-06,0.9988166093826294,2,3,2,340,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴塞罗那加入金童争夺战 入态度强硬甘愿苦爭继西甲两强皇马王马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科",6.9141387939453125e-06,2.5033950805664062e-05,2,2,2,562,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，曹(0906",1.2993812561035156e-05,3.993511199951172e-05,0,0,0,400,"Failed"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","一传惨不忍睹恒大为全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排周半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾",6.556510925292969e-06,0.9999889135360718,2,3,2,391,"Successful"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内",0.9831883907318115,0.9831883907318115,4,4,1,1,"Skipped"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","全美失业率将持续居高不下美联储前持主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持",1.7642974853515625e-05,3.409385681152344e-05,1,1,1,561,"Failed"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",0.9999988079071045,0.9999988079071045,2,2,4,1,"Skipped"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪乐　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达",7.033348083496094e-06,0.9999476075172424,2,3,2,349,"Successful"
