"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸打击 大福证券盈利倒退77%香港媒体报道，受娱乐大浪拖累，大福证券(0665)截至08年12月底止全年业绩，那较07年大幅回退76",1.4901161193847656e-05,0.9999822974205017,1,3,1,465,"Successful"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","埃塞俄比亚加强安保防止保安警察分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(娱记们 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至",7.748603820800781e-06,0.9999988079071045,4,3,4,161,"Successful"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国冲锋老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“",7.271766662597656e-06,0.9999972581863403,2,3,2,84,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等章有光西甲两强皇马和桑德兰先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科",7.987022399902344e-06,1.9550323486328125e-05,2,2,2,719,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","艺龙网有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清亮。昨日，时代集团(0906",1.537799835205078e-05,0.9965143799781799,0,3,0,512,"Successful"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","打门惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在香港卢湾体育馆与浙江嘉善体育馆进行，郎平麾",6.079673767089844e-06,2.2411346435546875e-05,2,2,2,785,"Failed"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内",0.9367086291313171,0.9367086291313171,4,4,1,1,"Skipped"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","全美物价水平将持续居高不下美联储前副主席史蒂夫·弗格森7月29日表示，美国经济目前的复苏局势十分缓慢，全美失业率将在二十天内持",1.0967254638671875e-05,3.421306610107422e-05,1,1,1,901,"Failed"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”就赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",1.3470649719238281e-05,0.9896768927574158,4,2,4,82,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪财经傅占诚　北京进度2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达",6.4373016357421875e-06,0.9999796748161316,2,1,2,135,"Successful"
"北京大胡子外援很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场","北京大胡子中锋那么“超模”闵鹿蕾可真令他上场他说NO!本报讯  解立彬受伤，闵鹿蕾赛前采取激活大胡子乔-克劳福德的决定。不过，这名此前一点也不不给力梵勒希外援在这场",7.3909759521484375e-06,0.979387640953064,2,3,2,378,"Successful"
"5英寸移动电视 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，支持数十","5六英寸移动电视 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，重视数十",1.2278556823730469e-05,4.4226646423339844e-05,0,0,0,745,"Failed"
"索尼PlayStation手机明春上市基于PSP Go设计新浪科技讯 北京时间12月29日下午消息，据日本《朝日新闻》报道，索尼PlayStation手机将于","索尼PlayStation手机明春上市基于PSP Go设计新浪财经科技商报 北京时间12月29日下午消息，据章明内地《朝日新闻》报道，索尼PlayStation手机只是把于",1.3947486877441406e-05,0.9996871948242188,0,1,0,421,"Successful"
