"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸出拳 大福证券创收反复77%香港媒体配音，为金融湖啸中断，大福证券(0665)截至0810年12月底前全年功绩，较07上半叶大倒退76",9.810924530029297e-05,0.00010848045349121094,1,1,1,1222,"Failed"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","埃塞俄比亚修饰安危免除中国工农红军音标破坏非盟峰会新华网亚的斯亚贝巴01岁29日电(记者 梁尚刚 石序) 仍是两天纲第十六届非盟首脑会议将于1月30日至",0.0005730390548706055,0.0033243894577026367,4,4,4,1129,"Failed"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将奥运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国发老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“",0.00034034252166748047,0.999243438243866,2,0,2,813,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴塞罗纳并入金童争夺战 森林狼态度强硬乐于楚与使继续西甲两强皇马作马拉加序为“金童”卢比冥开出可观电子，另一豪门加泰罗尼亚也加入了夺宝兵团。刚从莫斯科",0.0001423358917236328,0.00015175342559814453,2,2,2,820,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","保险公司有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906",0.11066925525665283,0.9999357461929321,0,1,0,268,"Successful"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","一传一波三折恒大将近节节败退 郎平：两人现已下劲2010～2011赛期全国女单公开赛半决赛主回合今日分别在三亚宝山健身房与三峡嘉善体育馆进行，郎平麾",0.00014579296112060547,0.00021642446517944336,2,2,2,610,"Failed"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","现代出版商商标财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内",0.0015445947647094727,0.9804545044898987,1,0,1,776,"Successful"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","全美失业率将持续居高不下美联储前副国际足联主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持",0.00012409687042236328,0.9998307824134827,1,2,1,899,"Successful"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","基地元老狱中怒斥拉登 偶合911既不道德也无成效中国日报国际互联网环球在线内涵：绰号“法德勒博士”的赛义前瞻·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",0.0006989240646362305,0.9996742606163025,4,0,4,743,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","亨茨维尔上级指挥官叫绝于大宝扮他是全队应用科学最好球员之一搜索巨擘体育讯　北京一代00万每个月00万日，对...来说一场热身赛中，东欧万古千秋偌大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达",0.00014483928680419922,0.0002549290657043457,2,2,2,1519,"Failed"
"北京大胡子外援很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场","北京大胡子为虎作伥很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾婚前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场",0.0001493692398071289,0.9998151659965515,2,3,2,576,"Successful"
"5英寸移动电视 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，支持数十","01英语水平考试可大可小专利局 纽曼CTV20+仅售799元专栏作家：中关村在线 毛晓曼          　　纽曼CTV20+采用了00英国革命16：00地球仪，支持数十",0.00014579296112060547,0.8170517683029175,0,2,0,699,"Successful"
"索尼PlayStation手机明春上市基于PSP Go设计新浪科技讯 北京时间12月29日下午消息，据日本《朝日新闻》报道，索尼PlayStation手机将于","日立PlayStation电话未来首次上市为此PSP Go设计搜索巨擘人体艺术讯息 白区时间12兼旬29日下晌消息，与...有联系倭《朝日新闻》上载，日本电气PlayStation手机将于",0.00015044212341308594,0.0003485679626464844,0,0,0,923,"Failed"
"美股收评：道指涨2.76% 标普500指数涨近3%新浪财经讯 北京时间6月11日凌晨消息 受中、美及欧洲等地传来的众多利好消息推动，周四美国股市大幅收","美股收评：网盟指涨2.0% 标普00万加权平均指数涨近3%微博财政讯 北京一个半世纪6月0倭一早新闻 受中、美及欧洲俟程传播的众多利好消息推动，周四美国股市大幅收",8.976459503173828e-05,0.0007497668266296387,1,1,1,1480,"Failed"
"基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　据新华社电 一家宗教极端主义论坛网站8日上传一段“基","基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　符新华社电 一家宗教极端主义论坛网站8日上传一段“基",0.21202921867370605,0.8305715322494507,4,0,4,947,"Successful"
"Facebook证实CFO将离职 寻求继任或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪科技讯 北京时间4月1日早间消息，据","Facebook证实CFO将离职 寻求继任或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪三民主义讯 北京时间4月1日早间消息，据",0.0001849532127380371,0.9999126195907593,0,4,0,621,"Successful"
"欧央行副行长：爱尔兰将可动用欧盟援助资金新浪财经讯 北京时间11月15日晚间消息，欧洲央行副行长维克托-康斯坦西奥(Vitor Consta","欧央行副行长：爱尔兰将可动用欧盟援助资金新浪财政消息 北京时间11月15日晚间消息，欧洲央行副行长维克托-康斯坦西奥(Vitor Consta",8.845329284667969e-05,0.8109961152076721,1,4,1,509,"Successful"
