"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸打击 大福政券盈梨到退77%香港谋体报道，受金嗝海啸拖累，大福政券(0665)截至08年12肓底止全年业绩，较07年大幅倒退76",9.810924530029297e-05,0.00010597705841064453,1,1,1,119,"Failed"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","唉塞俄比亚驾强安保妨上武装粉子披坏非盟峰会新华网亚的欺亚贝巴1育29日电(妃煮 梁尚刚 石序) 为欺两天的涕计六届徘盟首脑会议将于1月30日至",0.0005730390548706055,0.0018821954727172852,4,4,4,277,"Failed"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将亚运会后退般 扬凌：箱拿块金牌故纪念本报广洲专电(妃署孙永军)今天，38岁的中固射击老将扬凌将向10米侈动靶金牌发起冲击。昨天他透露：“",0.00034034252166748047,0.0004620552062988281,2,2,2,259,"Failed"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴塞萝那加入金幢争夺战 森林狼态席强便柑源苦待继西甲两强皇马和骂泣加先后为“金著”卢些奥并出诱人价码，另一豪门巴塞箩那也加入了夺宝兵团。刚从莫斯科",0.0001423358917236328,0.00015544891357421875,2,2,2,246,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中固网捅回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906",0.11066925525665283,0.7973095178604126,0,1,0,124,"Successful"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","一转参不忍睹亘大几乎全线崩溃 朗平：娥们已经尽力2010～2011赛季全国女排茸赛伴决赛第一回合今天分别在上海卢弯体膊馆与近江嘉善体育馆进行，郎平麾",0.00014579296112060547,0.00018042325973510742,2,2,2,291,"Failed"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","逢田本才年全球汽车哨量将超700万辆新华网东京11脯4日电(妃堵叶佳)剧日本谋体报道，在截止明年3月底的2009才年，包括大发和日野在内",0.0015445947647094727,0.5735516548156738,1,4,1,221,"Successful"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","全美失业摔蒋持续倨高不下美骋暑前副主席罗杰·弗格森7脊29日表示，美固泾济目前的复苏进程汗纷缓漫，全美失业摔将在一段时间内持",0.00012409687042236328,0.10196393728256226,1,1,1,246,"Failed"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网还球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",0.0006989240646362305,0.9996890425682068,4,2,4,137,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","达拉旗主帅盛赞于大宝表现他是全队技术最好球陨之一新酿体脯讯　北京时间2月6日，在一场热身赛中，美国帜业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达",0.00014483928680419922,0.00014841556549072266,2,2,2,230,"Failed"
"北京大胡子外援很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场","北京大胡子外暖很“大牌”闵鹿蕾让他肯杨他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场",0.0001493692398071289,0.9912031292915344,2,3,2,128,"Successful"
"5英寸移动电视 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，支持数十","5英寸侈动电砚 钮曼CTV20+仅售799元昨者：中关柩在线 毛晓曼          　　纽幔CTV20+采俑了5英寸16：9显示屏，支寺数十",0.00014579296112060547,0.00019615888595581055,0,0,0,229,"Failed"
"索尼PlayStation手机明春上市基于PSP Go设计新浪科技讯 北京时间12月29日下午消息，据日本《朝日新闻》报道，索尼PlayStation手机将于","索尼PlayStation手机明春肯市基于PSP Go设计新粮科技汛 北京时间12背29日下午哨熄，倨日本《朝日新问》报道，索尼PlayStation手机将于",0.00015044212341308594,0.00017130374908447266,0,0,0,134,"Failed"
"美股收评：道指涨2.76% 标普500指数涨近3%新浪财经讯 北京时间6月11日凌晨消息 受中、美及欧洲等地传来的众多利好消息推动，周四美国股市大幅收","美股收评：道指张2.76% 标普500指数张哲3%新浪材径讯 北京时间6膊11日凌晨消息 爱中、美圾欧洲恃地传来的众移利好硝息推动，周四美国股市大幅收",8.976459503173828e-05,0.0005510449409484863,1,1,1,206,"Failed"
"基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　据新华社电 一家宗教极端主义论坛网站8日上传一段“基","基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　剧新华社电 一家宗教极端主义论坛网站8日上传一段“基",0.21202921867370605,0.9763557314872742,4,0,4,122,"Successful"
"Facebook证实CFO将离职 寻求继任或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪科技讯 北京时间4月1日早间消息，据","Facebook证实CFO将离只 寻求继任或为IPO匍路Facebook CFO吉由恩·余(Gideon Yu)　　新良科技汛 北京时间4肓1日早间销息，据",0.0001849532127380371,0.00024014711380004883,0,0,0,196,"Failed"
"欧央行副行长：爱尔兰将可动用欧盟援助资金新浪财经讯 北京时间11月15日晚间消息，欧洲央行副行长维克托-康斯坦西奥(Vitor Consta","欧映行副行长：爱尔兰奖可动用欧盟援助资金新浪材径讯 北京时间11朋15日晚间哨熄，欧渊涣行副行长维克托-康斯坦西奥(Vitor Consta",8.845329284667969e-05,0.6409245133399963,1,0,1,212,"Successful"
"新疆天山南北铺就“信息高速公路网”新华网乌鲁木齐8月21日电(记者 刘兵)通过手机短信遥控棉田自动灌溉，用电脑视频和远隔千里的亲人面对","新蜷天山南北捕就“信息搞速公路网”新华网乌鲁柩齐8育21日电(记者 刘兵)捅过手机短信瑶控棉田自动灌概，通电脑砚频和远隔千里的亲人面对",0.00018364191055297852,0.000406801700592041,0,0,0,220,"Failed"
"西班牙首都6万民众集会抗议高失业率数以万计的西班牙民众在5月1日国际劳动节这天走上街头，抗议高失业率及政府采取的紧缩措施。　　在首都马","西班牙首躇6万民众集会抗议高失业率数以万计的西班牙民众在5月1日国际劳动节这天走上街头，抗议高失业率及证府采取的紧缩措施。　　在首都马",0.0005893707275390625,0.9999826550483704,4,1,4,201,"Successful"
"猛龙天才后卫扬言离队 卡尔德隆：不打主力就走人新浪体育讯　北京时间5月10日美联社消息，赛季中多伦多猛龙后卫何塞-卡尔德隆为了球队战术平衡和更衣室","猛宠天财后卫肠言离队 卡尔德隆：不打往砺就起人新浪体脯讯　北惊时间5朋10日美俜社消息，赛季中多伦多猛宠后卫何塞-卡尔德隆为了球队战术平衡和更衣室",0.0001442432403564453,0.000152587890625,2,2,2,231,"Failed"
"林依晨坦言不能没有爱人 梦想举办海滩婚礼新浪娱乐讯 林依晨(微博)个性低调、敏感话题向来不回应，但日前她被媒体腥膻标题踩到地雷，亲上官网捍卫","柩依晨坦言丕能没有爱人 梦厢举办海滩婚礼新浪误乐讯 栖依晨(微博)个生软调、繁感话题向来不回应，但日前她被媒体腥膻标题睬到地雷，亲上官网捍卫",0.00012540817260742188,0.0001392364501953125,3,3,3,202,"Failed"
"金融时报：格拉斯-斯蒂格尔法不可恢复新浪财经讯 哈佛商学院高级讲师罗伯特·波曾(Robert Pozen)1月13日在《金融时报》发表评","金嗝时报：格拉斯-斯蒂格尔法歪可恢复新浪材泾讯 拾佛商学院高级讲师罗伯特·波曾(Robert Pozen)1月13日左《金融时报》发表评",9.250640869140625e-05,0.8935608267784119,1,0,1,152,"Successful"
"统计局称明年我国将采用新CPI权重新华网北京10月21日电(记者 刘铮、王希)国家统计局新闻发言人盛来运21日在此间透露，今年全国正在","统计局称明年鹅固将采用新CPI权重新华网北京10月21日电(记者 刘铮、王希)固嫁统计局新闻发言人盛来运21日在此间透露，今年全国正在",0.010610401630401611,0.6995658874511719,4,1,4,150,"Successful"
"篮协公布第五周MVP：八一队尖刀携手上海杀器当选新浪体育讯　北京时间1月21日，中国篮协公布了CBA第五周最佳球员，上海队的麦克-哈里斯和八一队的王","篮协公布涕五周MVP：扒一队尖刀携手让海杀器当冼新浪体脊讯　北京时间1月21日，中国篮协公布了CBA第五周最哇球陨，扯海队的麦克-哈里斯和八一队的王",0.00014531612396240234,0.00015163421630859375,2,2,2,231,"Failed"
"技术前瞻：标普恢复涨势前或继续盘整这是Capital Essence对2010年12月10日(周五)的市场技术分析。　　尽管首度申请失","技术前瞻：标普灰复张势前或继续盒整这是Capital Essence村2010年12育10日(周五)的柿场技术分拆。　　尽管首度申请失",0.00010800361633300781,0.9998757839202881,1,2,1,120,"Successful"
"T3200芯X4500显卡 IdeaPad Y430本报4400元【北京行情】联想IdeaPad Y430(参数 图片 文章 热评 系列)系列拥有八种不同配置，覆盖了","T3200芯X4500显卡 IdeaPad Y430本报4400元【北凉行情】耻想IdeaPad Y430(参数 图片 文章 熟评 系例)系例拥有趴种否同配殖，腹盖了",0.0001367330551147461,0.00017434358596801758,0,0,0,172,"Failed"
"美国宾州枪击事件续：凶手求爱屡遭拒是主因美国宾夕法尼亚州匹兹堡附近一家健身中心4日晚发生枪击案，包括凶手在内4人丧生，另有9人受伤。行凶者的","美国宾洲呛击事件续：凶手求受屡槽拒是主因美固宾夕法尼亚州匹兹堡附近一家健身中心4日冕发生疮击案，包括凶手在肉4人丧生，另有9人受伤。行凶者的",0.0006681084632873535,0.5711253881454468,4,2,4,189,"Successful"
"马洛卡vs皇马首发：罗本领衔 亨特拉尔让位伊瓜因新浪体育讯　北京时间1月12日凌晨，西甲第18轮全面开战，皇马客场挑战马洛卡队，双方出场阵容如下：　","驼洛卡vs皇驼首发：箩本领衔 亨诗拉尔址位伊瓜困新酿体育讯　北凉时间1脊12日凌晨，晒甲第18轮全面开占，皇马客场挑战吗洛卡队，双方出场阵容如下：　",0.00014352798461914062,0.000148773193359375,2,2,2,274,"Failed"
"梅小惠生日会变慈善秀 亲绘四幅画拍卖募捐新浪娱乐讯 4月17日是梅小惠的生日，她当晚广邀圈中好友及亲友出席在赛西湖商场举行的生日派对，梅小亲","梅小惠姓日会弈慈善锈 亲绘四幅画泊卖募捐新浪藉乐讯 4育17日是梅小惠的姓日，她当豌广邀圈中好友级亲友出度在赛西葫商场举行的生日派对，梅小亲",0.0001285076141357422,0.0007210373878479004,3,3,3,206,"Failed"
"完美时空游戏推迟发布拉低股价：大摩维持增持新浪科技讯 北京时间3月30日下午消息，摩根士丹利发表投资报告，维持完美时空(NasdaqGS:PW","完美时空游找推迟发布泣低股价：大麻维等增持新粮科技汛 北景时间3背30日下午霄息，麻根士丹利发表投资报告，维持完美时空(NasdaqGS:PW",0.0001868605613708496,0.0002689957618713379,0,0,0,215,"Failed"
