"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸剥削 大福基金管理公司产量倒退77%香港媒体媒体，都受了金融浪潮拖累，大福证券(0665)写怨境08年12月底止翻番业绩，不算07年大幅倒退76",9.810924530029297e-05,0.00014507770538330078,1,1,1,390,"Failed"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日讯(记者 梁尚刚 石序) 为期两天的第十六届非盟奥会将于1月30日至",0.0005730390548706055,0.6265529990196228,4,2,4,128,"Successful"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北京老将运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国移动射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“",0.00034034252166748047,0.9822136163711548,2,0,2,134,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴塞罗那加入金童战争以 阿森纳强硬态度而活苦等继西甲两强皇马和斯托克城其后为“金童”卢比奥购进抚媚价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科",0.0001423358917236328,0.00015306472778320312,2,2,2,482,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","万网有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906",0.11066925525665283,0.9533447027206421,0,1,0,71,"Successful"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","下半时支离破碎中超联赛几乎一败再败 郎平：我们已经尽力2010～2011阶段市世乒赛排名赛半决赛第一回合今天分别在上海市政府机构设置中心体育馆与浙江嘉善体育馆进行，郎平麾",0.00014579296112060547,0.00016510486602783203,2,2,2,374,"Failed"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","丰田本财年全球重卡将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财政年度，包括大发和日野在内",0.0015445947647094727,0.5686444044113159,1,4,1,128,"Successful"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","全美失业率将龙政持续居高不下美国财长中第副主席罗杰·勒夫7月29日表示，美国经济各方面的复苏进程十分缓慢，全美政府开支将在一段时间内持",0.00012409687042236328,0.00022715330123901367,1,1,1,275,"Failed"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","补给站元老狱中怒吼古里安 称911既不道德也无实战经验中国日报网环球在线消息：绰号“法德勒博士”的赛义喻·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",0.0006989240646362305,0.9231273531913757,4,2,4,232,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","达拉斯少将盛赞于大宝表现他是全队应用最好学员之一新浪体育讯　北京时间2年6十一月，着一场热身赛中，美国体系大高层欧冠FC达拉斯3-1战胜孟菲斯。刚刚到达",0.00014483928680419922,0.0001550912857055664,2,2,2,650,"Failed"
"北京大胡子外援很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾赛前作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场","北京大胡子蒿俊闵很“大牌”闵鹿蕾让他上场他说NO!本报讯  解立彬受伤，闵鹿蕾下一场作出激活大胡子乔-克劳福德的决定。不过，这名此前很不给力的外援在这场",0.0001493692398071289,0.5326888561248779,2,3,2,133,"Successful"
"5英寸移动电视 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+采用了5英寸16：9显示屏，支持数十","5磅级行驶橱窗 纽曼CTV20+仅售799元作者：中关村在线 毛晓曼          　　纽曼CTV20+施行了5英寸16：9显示仪，支持数十",0.00014579296112060547,0.7798275947570801,0,1,0,258,"Successful"
"索尼PlayStation手机明春上市基于PSP Go设计新浪科技讯 北京时间12月29日下午消息，据日本《朝日新闻》报道，索尼PlayStation手机将于","索尼PlayStation手机明春上市基于PSP Go设计新浪财经技术讯 北京时间12月29日下午消息，据日本《朝日新闻》报道，索尼PlayStation手机将于",0.00015044212341308594,0.9999123215675354,0,1,0,129,"Successful"
"美股收评：道指涨2.76% 标普500指数涨近3%新浪财经讯 北京时间6月11日凌晨消息 受中、美及欧洲等地传来的众多利好消息推动，周四美国股市大幅收","美股收评：道指涨2.76% 标普500指数涨近3%新浪凤凰网网讯 北京时间6月11日凌晨消息 丁鹏元、美及欧洲等地传来的一众利好消息推动，周四美国股市大幅收",8.976459503173828e-05,0.5020307302474976,1,0,1,223,"Successful"
"基地组织二号人物称美国会为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　据新华社电 一家宗教极端主义论坛网站8日上传一段“基","基地组织二号人物称联储局为杀死拉登后悔通过视频发誓要采取必要牺牲“夺取美国的安全”　　据新华社电 一家宗教极端主义论坛网站8日上传一段“基",0.21202921867370605,0.9999333620071411,4,1,4,64,"Successful"
"Facebook证实CFO将离职 寻求继任或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪科技讯 北京时间4月1日早间消息，据","Facebook证实CFO将离职 寻求继任或为IPO铺路Facebook CFO吉迪恩·余(Gideon Yu)　　新浪行业讯 北京时间4月1日早间消息，据",0.0001849532127380371,0.8125333189964294,0,1,0,79,"Successful"
"欧央行副行长：爱尔兰将可动用欧盟援助资金新浪财经讯 北京时间11月15日晚间消息，欧洲央行副行长维克托-康斯坦西奥(Vitor Consta","欧央行副行长：爱尔兰将可动用欧盟援助资金新浪搜狐网讯 北京时间11月15日晚间消息，欧洲央行副行长维克托-康斯坦西奥(Vitor Consta",8.845329284667969e-05,0.999886691570282,1,0,1,78,"Successful"
"新疆天山南北铺就“信息高速公路网”新华网乌鲁木齐8月21日电(记者 刘兵)通过手机短信遥控棉田自动灌溉，用电脑视频和远隔千里的亲人面对","天山南北科尔沁草原铺就“信息高速公路网”新华网乌鲁木齐8月21日电(记者 刘兵)通过举报电话遥控棉田自动灌溉，用监控器视频和远隔千里的亲人面对",0.00018364191055297852,0.7431489825248718,0,4,0,149,"Successful"
"西班牙首都6万民众集会抗议高失业率数以万计的西班牙民众在5月1日国际劳动节这天走上街头，抗议高失业率及政府采取的紧缩措施。　　在首都马","西班牙市6万民众集会抗议高失业率数以万计的西班牙球迷在5月1日国际劳动节这天走上街头，抗议高失业率及政府采取的紧缩措施。　　在首都马",0.0005893707275390625,0.9999529719352722,4,2,4,136,"Successful"
"猛龙天才后卫扬言离队 卡尔德隆：不打主力就走人新浪体育讯　北京时间5月10日美联社消息，赛季中多伦多猛龙后卫何塞-卡尔德隆为了球队战术平衡和更衣室","猛龙牛人中场恶状转队 卡尔德隆：不打队就跑人网易体育讯　北京时长5耀时10日美联社丧讯，赛季中蒙特利尔猛龙中场何塞-卡尔德隆为了球队战术平衡和更衣室",0.0001442432403564453,0.00015246868133544922,2,2,2,458,"Failed"
