"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"海啸打击 大福证券盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76","海啸大击 大福证劝盈利倒退77%香港媒体报道，受金融海啸拖累，大福证券(0665)截至08年12月底止全年业绩，较07年大幅倒退76",1.5497207641601562e-05,2.5987625122070312e-05,1,1,1,249,"Failed"
"埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六届非盟首脑会议将于1月30日至","埃塞俄比亚加强安保防止武装分子破坏非盟峰会新华网亚的斯亚贝巴1月29日电(记者 梁尚刚 石序) 为期两天的第十六接非盟首脑会议将于1月30日至",1.0132789611816406e-05,1.2278556823730469e-05,4,4,4,313,"Failed"
"北京老将亚运会后退役 杨凌：想拿块金牌做纪念本报广州专电(记者孙永军)今天，38岁的中国射击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“","北经老将亚运会后退役 杨凌：想拿块金拍作纪念本报广州专电(记者孙永军)今天，38岁的中国摄击老将杨凌将向10米移动靶金牌发起冲击。昨天他透露：“",6.9141387939453125e-06,0.9940611720085144,2,3,2,197,"Successful"
"巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇马和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科","巴塞罗那加入金童争夺战 森林狼态度强硬甘愿苦等继西甲两强皇吗和马拉加先后为“金童”卢比奥开出诱人价码，另一豪门巴塞罗那也加入了夺宝兵团。刚从莫斯科",6.67572021484375e-06,1.4424324035644531e-05,2,2,2,302,"Failed"
"网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上市的脚步声也日渐清晰。昨日，中国网通(0906","网通有望年内回归A股早报记者 严丹虹 实习生 虞立教　　中国网通回归内地上时的脚步声也日渐清晰。昨日，中国网通(0906",1.2874603271484375e-05,1.895427703857422e-05,0,0,0,236,"Failed"
"一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体育馆与浙江嘉善体育馆进行，郎平麾","一传惨不忍睹恒大几乎全线崩溃 郎平：我们已经尽力2010～2011赛季全国女排联赛半决赛第一回合今天分别在上海卢湾体鱼馆与浙江嘉善体育馆进行，郎平麾",5.841255187988281e-06,1.728534698486328e-05,2,2,2,319,"Failed"
"丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止明年3月底的2009财年，包括大发和日野在内","丰田本财年全球汽车销量将超700万辆新华网东京11月4日电(记者叶佳)据日本媒体报道，在截止命年3月底的2009财年，包括大发和日野在内",0.17333835363388062,0.9984325170516968,1,4,1,161,"Successful"
"全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持","全美失业率将持续居高不下美联储前副主席罗杰·弗格森7月29日表示，美国经济目前的复苏进程十分缓慢，全美失业率将在一段时间内持",2.9802322387695312e-05,2.9802322387695312e-05,1,1,1,293,"Failed"
"基地元老狱中怒斥拉登 称911既不道德也无成效中国日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之","基地元老狱中怒斥拉登 称911既不道德也无成效中过日报网环球在线消息：绰号“法德勒博士”的赛义卜·伊马姆·谢里夫堪称当年基地组织的元老和风云人物之",1.0609626770019531e-05,0.9999996423721313,4,2,4,186,"Successful"
"达拉斯主帅盛赞于大宝表现他是全队技术最好球员之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大联盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达","达拉斯主帅盛赞于大宝表现他是全队技术最好球远之一新浪体育讯　北京时间2月6日，在一场热身赛中，美国职业大脸盟球队FC达拉斯3-1战胜孟菲斯。刚刚到达",8.463859558105469e-06,1.5854835510253906e-05,2,2,2,305,"Failed"
